"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",-0.186714535622568,0,-0.00417695815197179,0,0,0.0405313140322126,-0.0297963302428337,0.0574914616638203,0,0.0615750535052518,0.0951467901307388,-0.0233268457369471,0,0,0,0,0,-0.00127160604736277,0,0,0,0.317140254162843,0,0,0,-0.123509093814186,0,0,0,0,-0.0259459261853754,0.0094875734950173,0,0,0,0,0,0,0,0.0541794696652708,0,0,0,0,-0.117197621048246,0,-0.179829680703959,0,0
"2",-0.0684590252103135,0,0.104704490895645,0,0.0296080969847799,0.112275061240233,-0.0788339366531407,0.0258210450693165,0,0.130186429616117,-0.17116392875764,-0.00145656818713293,-0.0441829077945238,0.0830890065170282,-0.12426716005197,0,0,-0.100583848957523,0.0144645136892717,0,0,0.119738563497031,0,0,-0.0807606726426092,0,0,-0.00579859445221453,0,0,0,0,0.110900916470474,0,0,0,0.126441513341271,0,0,0,0,0,-0.106041420605465,0,0,0,0.0182380223398322,0,0
"3",0,-0.0668151543931224,0,0.106281088825621,-0.0696802128373519,0,0,0.0461114132437412,-0.142348852398287,0.0747497343850249,-0.0344362027043688,0,-0.249936314591417,0.161919123293797,0,0,0,-0.256105010536924,0.117752056128962,-0.013690527957808,0.0461995894145393,0,0,0.045949183704318,0,0,-0.0458728198572477,0,0,-0.0544557138292029,-0.0698834907842655,0,0,0,0,0,0.0389997382203707,0,0,0,0,0.142011872766996,0,0,0,0,0,0,0
"4",0,0,0.0730980549327114,0.00599347630716164,-0.0197896320803472,0,-0.152681207486486,0,0,0.0730038144715111,-0.0550661355563985,0,-3.52047079398374e-20,0,0,0,0,0,0.13299938356356,-0.147951239066413,0,0,0,0,0,0.0384932216946398,0.0250396318046783,0.0246051138155334,0,0,-0.0385421306564201,0.0186763753009731,0,0,0,-0.0898465420150076,0.239473989354018,0,-0.0452837923310811,0,-0.0283176819919514,0,0,0.037381022867181,0,0,0,0,0
"5",-0.00298711793224638,0,0,0,0,0.0524631606326575,-0.125747690898309,0,0,0,0,-0.00911058716179863,0,0,-0.0409220473319407,-0.0529189439927289,0,-0.0161075418829825,0,0,0,0,0,0,0,0,0,0.222304399335235,0,0,-0.000458087677468543,0.0314193624313293,0.0765836537175471,0,0,-0.208949802732062,0.0405086915522458,0,0,0,0.0869478958683463,0,0,0,0,0,0,0,0.0020867270561225
"6",0,0,-0.0337334732189965,-0.0574039153762167,-0.0305885624629821,0,0,0,0,0,-0.154985956125555,0,-0.143422051454626,0.037804860464654,0,-0.0929862108527137,0,0,0,0.232448668011933,0,0,0,0.0734811604136383,0.117625145906867,-0.0673673564780545,0.0209893720627114,0,-0.219178863179105,0,-0.00572634777046992,0,0,0,0,-0.131356285489618,0.00590355675940509,0,0,-0.0181514663263011,0,0,0,0.135375008363302,1.27151079430205e-19,0,0.154033035830486,0.0817097669003277,-0.0409100748418289
"7",-0.0474931341469618,0,0.153872067779316,0,-0.0443356617416092,0.0552383449451558,0.0284252871067222,0.0374735573832244,0,0,-0.019529275044133,-0.0260215546924409,-0.0483365908810001,0,0,0,0.0529642079873367,0,0,0.157133223282586,0,0.0152184632813434,0,-0.124296715593389,0,0.0718396711947911,-0.0732940206338051,0,-0.110211638528472,0.0826865477561322,0,0,0,0,0,0,0,0,0,0,0.0358420214996975,0,0,-0.061511365870142,0,0,0,0,0
"8",0,0,0,0,-0.0760252002784883,0.0871031178484447,-0.0570686116817946,0,0,0.0584633750700365,-0.0962491507902419,0,-0.0691442960855795,0,0,0,0,0,0,0,0,0,0.00738825940829213,0,-0.180095516605922,0.057772986633429,-0.0267173961265705,-0.0829808950103254,0,0.0322527779639501,0,0.170120586144531,0.132231867114562,0,0.142749506965393,-0.15162367316564,0,0,0,0,0,0,0,-0.0806749427005529,2.49634331398921e-19,0,0.0497294295875384,0.0599954261964419,0
"9",0,0.0232231536857826,0,0.0692492353627365,0,0,0,-0.0933681108213634,0,0,-0.114543810811338,-0.0548893470103497,-0.0773663971464813,0,-0.15518340886849,0.0952714558373206,0,0,0,0,0,0.119520041008849,0,0,0,-0.147101561094337,0.00964427867926118,0.00654685999606343,-0.0249911609614107,-0.0394656835898629,0.0576668361739443,5.94451395780292e-19,0.218542886233642,0,0,0,0.137596464558728,0,0,0,0,0,0,0,0,0,0,0,0
"10",-0.0967904586832683,0.147347073484469,0,0,0,0.115240430928551,0,0.0414165647203661,0,0,0,0,0,0,-0.132498317559588,0,0,0.02060615280465,0,0.196249941358796,0,0,0,0,0,0,-2.10930352710656e-18,0,0,0.055389558541418,0.0201076601674396,-0.16494422644277,0,0,0,-0.0619733839800554,0.0124991314226034,0,0,0,-0.045714213809456,0,0,0,0,0,0,0,0
