"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",-0.0689092958983712,0,-0.0480013749806359,0,0,0,-0.0340419290922656,0.157002445439455,0,-0.0620235853103457,0,0,0,0,0,0,0,0.0337853409067652,0,0,-0.0151851895411909,0,-0.129104549445268,0,-0.0605754201985346,-0.120736907207598,-0.0985280938466313,0,0,-0.0703490563825987,0.0582012910855909,-0.0111582024696393,0.135382659006433,0,0,0,0.0891954841987233,0,0,0.0963405412694593,0,0,-0.069566455488011,0,-0.0396747951260763,0,0,0,0
"2",0,0.135337060384009,0.0184486704866679,0.00445313563491495,0,-0.0426130107065456,0,0,0,0,-0.0508336491444674,0,0,0,0,0,0,0,0,-0.17906948927718,0,0.145052149917051,0,0,0,-0.0453032516773716,0,0.0257411925054815,0,0,0.0262683389996287,0,0.143022346831239,0,0,-0.0894794377874364,0.192420871863457,-0.148465421254143,0,0.0197207557662374,0,0,-0.165030380065742,0,0,0,0,0,-0.019395165057801
"3",0,0.0395217905163787,0.155505118888435,0,-0.0344512621431732,-0.068096323562211,-0.0176608247297261,0,0,0,-0.010726099351971,0,-0.188787527342032,0,0,0,-0.0827822077565542,0,0,-0.169752684827581,0,0,0.015371276097757,0,0.122606665361521,0.132813356869789,0,0,0.154146075752762,0,-0.0955443986360309,0,0,0,0.0484590577244115,0,0,0,0,0.0561338017580528,-0.0241786353597974,0.0728597706920402,-0.0374012458914894,0,0,0,0,-0.0221741417903662,0
"4",0,0.05252549869038,0.0635375708124824,0,0,-0.0438982489312966,-0.106525583180385,0,0,0,-0.0817012154625227,0,0,0,0,-0.112398195357881,-0.177393712624304,0,0.0200897107690412,-0.0490124695439054,0,0,-0.18363863739854,0.171417321819787,0.0338315341251305,0,0.106330851185717,0.130471640108829,0,0.155465813078194,0,0,0,0,0,0,0.147094881071144,0,0,0.0268864652500651,0,0,0,0,-0.0719128605961086,0,0,0,-0.0148810678628535
"5",0.100998703846342,0,0,0,0,-0.0345006319908866,-0.141023233490348,0,0,0,0.0623336887588522,-0.0211577400737283,0,0,0,0,0,0,0,-0.154540131744111,0,0.194087958313313,0,0,0.0401132398069074,0,0,0.179842020210664,0,0,0,0.0868723026111086,0,0,0,0,0,-0.0897701218675886,-0.0808511820657941,0,0,0,-0.063296626273568,-0.0172313977170543,0,-5.82353631306149e-19,0,-0.0707744309951192,0
"6",0,0.100398690279217,-0.0448461792308466,0,-0.00797556417189301,-0.0239796214317863,0.101568053594224,0,-0.00846765544409285,0,-0.170182361310194,0,0,0.0616909447881563,0,0,0,0,0,0.00828412891616565,0,0,0,0,0.136849327674406,-0.0365630986230332,0,0,-0.0832461742991081,0,-0.0432835814334143,-0.0233882440235622,0.0430211168708583,0,0,-0.165811509747862,0,0,0,0,0,0,-0.0123686466957531,0,0,0,0,0,-0.00267030691162273
"7",0.0943455508875847,0,0,0,0,0,0.0693396344228818,0,0,0,-0.0528598069187669,-0.0648025855363971,0,0.109073751702039,-0.113932323949871,0,0.233593548334217,0,0,0,0,0,0.0482258677106238,-0.148599605721608,0,0,0,0,-0.073488215155109,0,0,0.10535471931572,0,0,-0.186091487105311,0,0.181775177278746,0,0,-0.0261136933671672,0,-0.046890215824494,0.0351898460102001,0,-0.157367201441887,0,-0.0210692174147769,0,0
"8",-0.0421784735280907,0.0204099897707075,-0.0204952394359216,0,-0.126068892268309,0,-0.027262063998836,0,0.0970517296072832,0,-0.0562482488317177,-0.0201783275933265,-0.0420994470410649,0.189701517145277,0,0.072126407340489,-0.171080822389893,0,0.164292775247331,-0.0507368788455285,0,0,0,0,0,0,0,-0.023825030368724,0,0,0,0,0,0,0,-0.275370428908421,0.116976663201981,0,0,0,0.22271696386089,0,0,-0.0281146397739644,-0.0570750718229744,-0.0149557607460668,0,0,0
"9",0,0,0.00563402337697424,0.157167833887198,-0.0427383894747735,0.051986927121682,0,0,1.09978332226467e-18,-0.12341650848058,-0.0492697234319694,0,0,0,0,0.0434529452709633,0,0.0172331531666434,0,0.0646301436609348,0,-0.0616428235389159,0,0,0.0593001027775609,0.0476017468569139,0,0,0,0,-0.0246834168705546,0.147613290568271,0.0389714267567396,0,0,0,0.125295445441394,0,0,0.0901864755792213,0,0,-0.111788004110547,-0.0501025306342593,-0.00711787765290551,0,0,-0.235612633037513,-0.137326695285168
"10",0,0.148437575475427,-0.0836132029733017,0,0,-0.0519511249652885,0,0.0710945144880918,0,-0.172036698889052,0,0,0,0,0.0546683536747617,0,0,0.0267402988629199,0,0,0,-0.0100068516628238,0,0,0,0,0,0.0311252579460358,0,0,0,0,0,0,0,0,0.00945161919643437,0,0,0,0,0,-0.100204627025472,0,0,0.0796668037527774,-0.0755293185479235,0,0
"11",0,0,0,-0.117334558169489,0.110642351407985,-0.0211734934504552,0,0,0,0,0,0,-0.23142713943976,0,0,0,0,0,0,0,0,0,0.0241818837245895,0,0,0,0,-5.58459889684484e-19,-0.103883962664223,0,-0.0171000197096882,0.0617354406661747,0.0895963803319686,0,0,-0.149897693072289,0.178424628397443,0,0,0,0,0,0,0,-0.0215302638134402,0.0550293567958346,0.0195257176312053,0,0
"12",0,0.0920391670549707,0,0,0,0,0.0949217346924417,-0.0186272694355972,-0.0737207118546395,-0.0883422062973958,-0.164168277119159,-0.00943153747977421,0,0,0,0.148050169909453,-0.0129117522451339,-0.0908735785787695,0,-0.0959916327286019,0,0,0,0,0,0,0,0.163869977390778,0,-0.107318811646993,-0.00896883341749864,0.167342977823518,0,0,0,-0.228852593217904,0.19620504769606,-0.0229902734600894,0,0,0.0759060465447702,0,-0.0280535395708048,0,0,0,0,-0.084468470520067,0
"13",0,0,0,0,0.0301063890434492,-0.0382598973000879,0,0,0.0230644042839398,1.02217031059646e-18,-0.0446982973536861,0,0.0200144172508236,0,0,0.143419355144675,-0.00694388843339307,0,0,-0.124382658544782,0,0,0,-0.0558521971015507,0,0,0.00100151379449688,0.176409985002474,-0.0760572054099526,-0.185234637738835,0,0,0.172487842313557,0,0,-0.0595840515411173,0.10218425378265,0,0,0.00178368611358346,0,0,-0.221141198949344,0,0,0.0592065266944077,0,0,0
"14",0,0,0,0.0640476216569231,0,0,0,0.0219748999536696,0,-0.212042589888509,-0.00247798329774816,-0.0312520770914774,0,0.123213035200606,-0.112455679215307,0.0235063130590742,0,0,0,0,0,0.0897280055014083,0,0,0,-0.0671066475521809,0.00758973804739997,0,-0.0313257606050524,0,-0.157109637356878,0.0748655406103097,0.194773457811292,0,0,-0.0755706007241542,0.168287377350093,-0.139728423847515,0,0.16301432318803,0,0,-0.0605284421768674,0,-0.170562804341652,0,0,0,0
"15",-0.0346122945226261,0,0.0717709245327667,0,-0.005349446440996,0,0,0,0,-0.135417196194861,-0.0656287082705331,0,0,0,0,0.0664225399127445,0,0,-0.0428106048510674,0,-0.133813085538287,-0.0621230196034354,0,0,0,0.0162041090409619,-0.00832137866441881,0,0,0,0,0,0.189644898870997,0,0,0,0.13828081176089,-0.0132240859702443,0,0,0.0718839675862579,0,0,0,0,0.00699812753298806,0,0,0
"16",0,0.110914087447941,0,0,0,-0.152275930865503,-0.0633852989417203,0,0,-0.130436022870422,0,0,0.0697408087725297,0.177543170747792,0,0,0,0.116242120281291,0,0,-0.267047653616293,0,0.258753513408371,0,0.0502805847673452,0,-0.0157679115987975,0,0.0452036903074654,-5.13229538772232e-19,-0.0588783540077585,-0.055092141435013,0,-0.000442736872299556,0,-0.059139018656078,0.0604246581867398,0,0,0,0,0,0,0,0,0.0568037533071001,-0.111309331779507,0,-0.104371610214143
"17",0,0.0956637557670752,0,0,0,0,-0.054702201022493,0,0,-0.01535462777813,-0.0617243106842096,-0.101951606697829,0,0.0287117744146713,0,0.0957787137362935,0,0,0,0,-0.00331646369668152,0,0,0,0,-0.122777422727357,0,0.0476209417792135,0,0,-0.0794699039283092,0.0208063211138853,0.201796991972826,0,0,-0.0841065476517084,0.112876942491363,0,0,0,0,0,0,0,-0.149146187458801,0.0834590585467379,-0.0882753144974943,0,0
"18",0.0251766875702423,0.0196197346532537,0.115216438257281,-0.0381957701042005,0,-0.014489947496595,0.0351258103304555,0,0,0,-0.0871780489740435,-0.103926273242653,-0.0810443879716556,0,0,0.0784047929013052,0,0,0,0,0,0,0,0.100492477729726,0.120300284490838,0,0.0730367463516317,0.020412808276073,0,0,-0.105938207138121,0.0726512423943333,0.030855970119154,0,0,-0.162665081573523,0,0,0,0,0,0,0,0,0,0.0987835341133,0,0,0
"19",0,0,-0.0172206695516615,0,0,0.0224437009669291,0,0,0,-0.0954395243618781,-0.0834566405781857,0,0,0.225547663272237,-0.136620823257164,0.104565990811474,0,0,0,0,-0.0398745940477782,0,0,-0.0164040099072125,0.182094732037296,-0.180649785906477,0,0,0,0,-0.056014520412784,0,0,0,0,0,0,-0.00385472017506017,0,0,0,0,0,0,-0.0422170914230961,0.0448490585755263,0,0,-0.0468473487155241
"20",-0.103373108609137,0,0.0258274310725539,0,0,0,0,0,0.0965893096050386,-0.177070094761633,4.644972884024e-19,-0.053273765879248,0,0.0297859819420284,-0.00139422851469237,0,0,0,0,0,0,0,0,0,0,0,0.0063518425018539,0,0,0,0,0,0.252633495345401,0,0,0,0,0,0,0,0,0,0,0,-0.277501333679311,0.307184100520294,0,0,0
"21",0,0,0.00406567548711704,0,-0.019310248724108,0.0586487427327473,-0.0202423093469695,0,0,-0.0211667079994665,-0.0732384973476911,-0.253247084601042,-0.0195937062652277,0,0,0.145811814106481,0,0,0,0,0,0.0239928208066481,0,0,0,0,0.0631700525030707,0,0,0,-0.0250539762393051,0,0.195364132652316,0,0,0,0,0,0,0.0244442895575413,0,0,-0.0452019831014148,-0.0508599002504695,-0.198847671254709,0.208884563834115,-0.1259012555629,0,0
"22",0,0.000529180886251339,0,0,-0.00812640952812304,0,0,0,0,0,-0.0891528233395875,-0.0877304214210721,0,0,0,0.090943164013066,0,0,0,0,-0.0110499346385843,0,0,0,0.162145430767042,-0.0193789293292094,0,0.0176141916031601,0,0,-0.0535074024658496,0,0,0,0,-0.153368399687795,0.179267500704921,0,0,0,0,0,-0.162002803627588,0,-0.181622082402401,0.159101394163703,-0.0830745282690062,0,0
"23",0,0,0,0,0,0,0,0,0,-0.179189789685223,-0.135218511678032,-0.0973031558685527,0,0.105813518465069,0,0.101400748410389,0,-0.0306441854228701,0,-0.0683530846182734,0,0.0159585613518764,0.0275012199042596,0,0.122006665704024,-0.170673363939471,0.128430576926054,0,0,-0.14398040015176,-0.0835756616742612,0.213519491109633,0,0,0.143964402681496,0,0.138368024547092,0,0,0,0,0,0,0,-0.20714003361091,0.138455041148476,0,-0.0664844333166506,0
