"","V1","V2","V3","V4"
"1",0.00938,0.03046,0.03667,0.02465
"2",-0.01908,0.0211,0.00708,0.03011
"3",0.00583,0.03081,0.02113,0.02073
"4",-0.01108,0.0238,0.01468,0.03144
"5",0.00228,0.03266,0.02143,0.0354
"6",0.01728,-0.02888,-0.01522,-0.02982
"7",0.00164,-0.05976,-0.06454,-0.04753
"8",-0.01045,0.04155,0.03063,0.04966
"9",-0.01358,0.05214,0.04485,0.06745
"10",0.00752,0.01204,0.01265,0.00936
"11",-0.0202,0.06482,0.0563,0.06972
"12",0.01582,-0.0154,0.00423,-0.02157
"13",-0.00739,0.05431,0.05012,0.05157
"14",0.00723,-0.03209,0.00128,-0.00842
"15",0.00359,-0.04043,-0.04547,-0.03887
"16",-0.00238,0.01568,0.01568,0.03237
"17",-0.00463,0.07501,0.06756,0.07278
"18",0.00116,0.05354,0.05029,0.05435
"19",0.00712,0.05762,0.05837,0.07076
"20",0.0025,-0.01906,-0.00266,-0.02304
"21",0.00358,0.0601,0.06542,0.064
"22",-0.01625,-0.04299,-0.06796,-0.03679
"23",-0.01121,-0.00831,0.0012,0.01314
"24",-0.01512,0.01468,0.000710000000000001,0.01068
"25",0.01212,-0.00566,0.000219999999999999,-0.0104
"26",-0.00636,0.0817,0.07083,0.06963
"27",-0.00127,0.02289,0.02419,0.0394
"28",0.00577,0.02343,0.01344,0.01677
"29",0.00862,-0.03168,-0.02527,-0.03623
"30",-0.01978,-0.01374,-0.0014,0.00365
"31",0.02221,-0.02715,-0.02122,-0.06139
"32",-0.00323,-0.15641,-0.1607,-0.14648
"33",0.08158,0.115,0.12246,0.02738
"34",-0.0033,0.07966,0.1038,0.08776
"35",-0.03118,0.04866,0.03656,0.06704
"36",0.02406,0.02706,0.00936,0.00939
"37",0.02445,0.01279,0.02019,0.01098
"38",0.00839,-0.04307,-0.0292,-0.0251
"39",-0.01385,0.01033,0.02029,-0.00164
"40",-0.01201,0.06267,0.09159,0.09084
"41",0.00269,0.00283,-0.00576,-0.00567
"42",-0.01901,0.01167,0.04193,0.04406
"43",0.01318,-0.03192,-0.03451,-0.04685
"44",0.01726,-0.04624,-0.00376,-0.03668
"45",0.04173,-0.00931,-0.01909,-0.0309
"46",0.03475,-0.01921,0.04442,-0.00266
"47",-0.01051,-0.00607,0.02212,-0.00495
"48",-0.02503,0.01519,-0.00595,0.0568
"49",0.01949,-0.02535,-0.05773,-0.05127
"50",0.00608,-0.04522,-0.00617,-0.04485
"51",0.000990000000000005,0.04009,0.03467,0.07015
"52",0.01096,0.00284,-0.00812,0.000879999999999999
"53",0.02269,0.00233,0.02104,-0.0169
"54",0.0354,0.00398,0.03083,-0.0048
"55",-0.01881,0.01811,-0.00265,0.02029
"56",-0.03146,0.02958,0.03692,0.07991
"57",0.04309,-0.02909,-0.02545,-0.05075
"58",-0.00131,-0.05233,-0.00252,-0.01998
"59",0.02345,-0.04791,0.000980000000000001,-0.05332
"60",-0.00831,0.07717,0.0623,0.07949
"61",-0.00176,0.05224,0.03981,0.03911
"62",-0.01068,-0.01418,-0.03491,-0.01219
"63",-0.00787,-0.05361,-0.08934,-0.03621
"64",0.0023,0.02192,0.06317,0.05666
"65",0.00987,0.02565,0.02986,0.02635
"66",-0.01164,-0.00404,-0.02599,0.00031
"67",-0.00916,0.00384,-0.02265,0.00762
"68",0.02182,-0.02554,-0.01845,-0.03296
"69",0.01904,-0.07714,-0.06405,-0.14039
"70",0.01834,-0.00522,0.02397,0.0079
"71",-0.0045,0.0664,0.06809,0.05837
"72",0.01375,0.03573,0.04085,0.02802
"73",-0.02491,-0.01143,-0.00606,0.02787
"74",-0.00525,0.04053,0.03409,0.02462
"75",0.00726,0.05404,0.05489,0.06056
"76",-0.0234,-0.02088,-0.03812,-0.00306
"77",0.00693,-0.00183,0.0047,-0.00238
"78",-0.01215,-0.05485,-0.04696,-0.04875
"79",0.00266000000000001,-0.09968,-0.13245,-0.11082
"80",0.01012,0.02498,0.02699,0.00714
"81",-0.00556,-0.0658,-0.06758,-0.08078
"82",0.05814,0.05844,0.04597,0.01011
"83",0.01503,0.06629,0.06687,0.06098
"84",0.00706,-0.03322,-0.05235,-0.04778
"85",-0.01573,-0.03995,-0.05208,-0.03442
"86",0.02452,-0.00866,0.000860000000000001,-0.03019
"87",0.01309,0.01955,0.00385,-0.00759
"88",-0.01262,0.08576,0.07118,0.08117
"89",0.01761,0.09115,0.0925,0.0647
"90",-0.00647,0.01681,0.00902,0.01525
"91",-0.02916,0.02958,0.0183,0.07485
"92",-0.00576,0.04536,0.04863,0.04476
"93",-0.00565,-0.01353,-0.01481,-0.01556
"94",-0.00232,0.07534,0.07391,0.07878
"95",-0.00604,0.0203,0.03021,0.03163
"96",0.000589999999999996,0.07519,0.07998,0.07042
"97",-0.00976,0.01638,0.01058,0.03239
"98",-0.00356,0.03668,0.02232,0.01754
"99",0.0285,0.00466,0.01215,-0.0158
"100",0.01954,-0.00232,-0.01348,-0.00492
"101",0.000769999999999999,-0.00449,0.01361,-0.000449999999999998
"102",0.00273,0.04131,0.03859,0.04162
"103",-0.01519,-0.04795,-0.05592,-0.03263
"104",0.00564,0.01024,0.01184,0.00462
"105",0.00603,0.02717,0.03594,0.02754
"106",0.01122,0.02538,0.01973,0.01419
"107",-0.0088,0.05716,0.06509,0.07715
"108",-0.00219,0.00603,0.01692,0.02231
