"","V1","V2","V3","V4"
"1",0.00259,0.02211,0.01861,0.01282
"2",0.00654,0.02052,0.02934,0.02574
"3",0.01648,0.01332,0.03515,-0.00225
"4",0.01363,0.00313,0.01192,0.01089
"5",-0.00721,0.03251,0.0225,0.03057
"6",0.000479999999999999,0.00116,-0.00316,0.00307
"7",-0.00035,-0.05189,-0.04712,-0.04491
"8",0.02303,0.02401,0.05011,0.01714
"9",0.02016,0.02406,0.05076,0.03094
"10",-0.00999,0.01809,0.00902,0.01404
"11",-0.000209999999999999,0.05131,0.05502,0.05422
"12",-0.02005,-0.01749,-0.0184,-0.000809999999999999
"13",0.00613,0.04389,0.03972,0.03906
"14",0.03816,0.0293,0.0224,0.006
"15",0.0218,-0.04822,-0.02689,-0.05934
"16",0.00986,0.0304,0.02265,0.03708
"17",0.00457,0.06651,0.07333,0.07669
"18",0.00998,0.03504,0.03634,0.02561
"19",0.01709,0.05811,0.05793,0.06
"20",-0.01725,-0.03931,-0.03262,-0.01914
"21",0.00535,0.05707,0.0561,0.0484
"22",-0.01025,-0.02785,-0.04802,-0.04607
"23",0.0013,0.00994,0.02447,0.03549
"24",0.00273,0.01079,0.01393,0.02928
"25",0.00703,-0.00221,0.00472,-0.00324
"26",-0.01122,0.06694,0.05987,0.06384
"27",0.00659,0.05929,0.04123,0.06475
"28",-0.00956,-0.00382,0.00644,0.00621
"29",0.00925,-0.01757,-0.02079,-0.01282
"30",0.01247,0.03431,0.03038,0.02194
"31",-0.00863,-0.06243,-0.03834,-0.05785
"32",-0.01994,-0.1055,-0.15346,-0.13257
"33",-0.02172,0.04702,0.03658,0.13725
"34",0.01067,0.04579,0.06507,0.06807
"35",0.02045,0.05359,0.06276,0.04308
"36",-0.008,0.0258,0.03233,0.06443
"37",-0.01659,0.03975,-0.02419,0.02944
"38",0.02021,-0.01495,-0.0012,-0.0311
"39",0.02072,0.01644,0.00555,0.02675
"40",0.01212,0.095,0.07885,0.1036
"41",-0.00693,-0.00195,-0.01833,0.01786
"42",-0.00493,0.03017,0.02335,0.03455
"43",-0.02329,-0.05707,-0.05846,-0.03448
"44",-0.00666,-0.02456,-0.05806,-0.0297
"45",0.00366,-0.03232,-0.07608,-0.0132
"46",0.02638,0.0307,0.04373,-0.00639
"47",0.00964,0.019,0.03283,-0.0093
"48",-0.00091,0.05895,0.05425,0.03429
"49",0.01458,-0.06904,-0.03495,-0.07256
"50",0.00251,-0.03559,-0.02845,-0.0493
"51",-0.01333,0.05967,0.07542,0.07296
"52",-0.02411,-0.03203,-0.01934,-0.01218
"53",-0.02039,0.00223,-0.01131,0.0131
