,Mkt-RF,SMB,HML,RF
197907,    0.82,    1.26,    1.68,    0.77
197908,    5.53,    2.07,   -1.49,    0.77
197909,   -0.82,   -0.24,   -0.89,    0.83
197910,   -8.10,   -3.32,   -1.89,    0.87
197911,    5.21,    2.74,   -3.27,    0.99
197912,    1.79,    4.19,   -2.03,    0.95
198001,    5.51,    1.65,    1.85,    0.80
198002,   -1.22,   -1.81,    0.62,    0.89
198003,  -12.90,   -6.64,   -1.06,    1.21
198004,    3.97,    0.96,    1.05,    1.26
198005,    5.26,    2.13,    0.44,    0.81
198006,    3.06,    1.67,   -0.88,    0.61
198007,    6.49,    4.24,   -6.30,    0.53
198008,    1.80,    3.91,   -2.64,    0.64
198009,    2.19,    0.88,   -4.79,    0.75
198010,    1.06,    2.47,   -2.73,    0.95
198011,    9.59,   -3.45,   -8.34,    0.96
198012,   -4.52,   -0.27,    2.68,    1.31
198101,   -5.04,    3.00,    6.84,    1.04
198102,    0.56,   -0.30,    0.96,    1.07
198103,    3.56,    3.58,    0.67,    1.21
198104,   -2.10,    4.42,    2.26,    1.08
198105,    0.11,    2.00,   -0.42,    1.15
198106,   -2.36,   -0.85,    5.12,    1.35
198107,   -1.54,   -2.18,   -0.63,    1.24
198108,   -7.03,   -1.95,    4.83,    1.28
198109,   -7.17,   -2.66,    5.18,    1.24
198110,    4.92,    2.14,   -4.21,    1.21
198111,    3.36,   -0.97,    1.89,    1.07
198112,   -3.65,    1.18,    0.75,    0.87
198201,   -3.24,   -1.29,    3.14,    0.80
198202,   -5.86,    0.48,    6.07,    0.92
198203,   -1.87,   -0.20,    3.78,    0.98
198204,    3.27,    1.51,   -2.81,    1.13
198205,   -3.99,    0.47,    1.82,    1.06
198206,   -3.09,   -0.40,    1.51,    0.96
198207,   -3.19,    0.84,    0.15,    1.05
198208,   11.14,   -4.11,    1.16,    0.76
198209,    1.29,    2.88,    0.34,    0.51
198210,   11.30,    2.36,   -3.68,    0.59
198211,    4.67,    4.77,   -1.96,    0.63
198212,    0.55,   -0.18,    0.01,    0.67
198301,    3.60,    2.69,   -0.86,    0.69
198302,    2.59,    3.23,    0.67,    0.62
198303,    2.82,    1.78,    2.07,    0.63
