"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",0,-0.210316916036884,0,-0.0010028225039396,-0.00374403220991155,0,0,0,-0.0919063833519174,0.0336896657176892,0,0,0,0.0573697449080588,-0.071482387293405,0.0250269297068043,0,0,0,0,0,0,0,-0.00943679304734651,0.0367375901846566,-0.0514876155047891,0,0.17137920658252,0,0,0,0,-0.0859997182785764,0.0733637293290655,0.0623486305152635,0,0,0,0,0,-0.0578097787161025,0,0,0.0761529696494975,-0.0402615984667215,0,0,0,0.136249138062009
"2",0,0.0341719009549808,0,-0.0359117258082014,0,0,-0.0187591351303101,0,-0.0854221273695743,0,-0.0461591588587696,0.0591309743737254,0,0,0,0,9.56645018644259e-19,0.041158954100236,0,0,-0.0168734745126222,0,-4.78322509322129e-19,0.0321641444843286,0,-0.0207224072650657,-0.184616509271481,0,0.0392692811432007,-1.91329003728852e-18,0,-0.0350956616118571,0.272578725339693,0,-0.00734442008701462,0,0,-0.0637466823072134,0,0.00497883515897559,0,0,0,0,0,0,0,-0.114805186773118,-0.000658457494287419
"3",0,0,0.12089009011291,0,-0.0542555460545563,0,0,0.0204200885456176,0,0,0,0.028193374136748,0,0.145805919143474,-0.159990373657759,0,0,0,0,0,-0.1376197231537,0,0.0458332600080316,-0.0320898211744569,0,-0.0189977639857501,0,-0.018228451703801,0.0954486277004738,0,0,-0.0862327542999414,0,0,-0.0817109892023997,0,-0.00106281276184843,0,0,0,0,0,0,0.149451537034415,0,0.0495898334215231,0,0,0
"4",-0.00220192327459544,0.0231929280952013,0.0766937204695539,0,0,0,0,0,0,0,0,0,0,0.19211021913379,0,0,0,0,-4.09668226422336e-19,-0.0346312262511745,-0.234896661404446,-0.127304578217434,0,0,0.0485368565751778,0,-0.0793970513886786,0,0,0,0.0329821061856293,-0.050899830153405,4.09668226422336e-19,0,-0.0808678206608548,0,0,0,0,0.220852033694333,-0.111777129182713,0,0.1439663150107,0,0,0,0,-0.121457872355893,-0.0268336791797576
"5",-0.185691983920364,0,0.137793115389112,0,0,0,0,-0.0768084662431562,0,0,-0.0324145279379224,0,0,0,0.108613370593499,0.0348968181400952,0,0,0,-0.0782971920945227,0,0,0,0.0565869403218262,0.0212872037380874,0,-0.0350919788384743,0,0.0257411055128136,0,0.0271535043751652,0,0,0,0.0610981427687586,0,0,0,0,0.30417126126707,0,-0.217060686045086,0.030740838464251,0,0,0,0.0178275288592056,-0.249107617844921,0
"6",-0.0393677496031746,0.16827627155988,0,0,0,0,0,0,0,0.0795265651396472,-0.132036221001942,0.0686765025211743,-0.112947611234784,0,-0.0179428379932391,0,0.109100081739236,0,0,0,0,0.0812433294031173,0.152852875228606,-4.27252927286205e-19,0.155535430525589,-0.19832744615788,-0.0743630600561408,0,0,0,0,0,0,0,-0.0609153269021352,0,0,0,0,0.14323675038365,0,0,0,0.0460279221389688,-0.186842902531251,0,0,-0.203093867840527,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.249583522609086,0.132579899181528,0,0,0,0,0,0,0,0.0666959445829794,0,-0.0099598127250785,-0.047994068997246,0,0.021294480332058,0,0,-0.0244831511416116,0,0,0,0,0,0,0,0.0828363303927226,0,-0.0525538133993601,0,0.0718273587098991,0,0,0,-0.0887112190756029,0.010402239349523
"8",0,0,0,0,-0.0353141880378289,0.127340821925763,0,0,0,0,-0.130245512954479,0,0,0,-0.0993470671166655,0,0.0838300033041011,0,0,0,0,0,0,0,0,-0.0939081010153879,-0.121676786606494,0.00613225737747771,0,-0.0145073150856665,0.0445654020663517,0.0776850185398403,0.0651032148268448,0,0,0,0.0619494170079472,0,0,0,0,0,0,0.0152556299343579,-0.0297397741920219,0,4.83271539309516e-19,-0.0725111916719701,0
"9",-0.0398653059184023,0.0200723768178495,0,-0.0170851790958779,0.106412425975207,0,0,0,0,0,0,0,0,0.118013522030584,0,0.025239987481535,0,0,0,0,0,0,0,0,0,0.00579595637481951,-0.180993485952417,0,0,-0.0208709043528464,0,-0.0401215930780052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.196996678802955,0
"10",0,0,0,0,0,0.0562713985268434,0,0,0,0,-0.0467535375031453,0,0,0,-0.0719882120410744,0,0,0,0.0256676197413664,0,0,0,0.0569557786303806,0.136327909762743,0,-0.0192248378070905,-0.107681702309971,0,0.0641468707962919,0,0,0,0,0,0,0,0.00373662879707611,0,0,0,-0.089593075678083,0,0.122867750973747,0,0,0,0.0902563931203681,-0.208657123941633,-0.0602001697614239
"11",-0.118799891954323,0.158144600750084,0,0,0.0763384645428389,0,0,0,-0.0034993248692477,0,0,0.103547514839781,0,0,-0.0569956191500878,0.0400871406173432,0.283005000322204,0,0,0,0,0,0,0,0.0653224473476798,0,-0.112303157295832,0,0.0795615510581141,0,0.0673496910887452,-0.115323045125735,0,0,-0.104020949829762,0,0,0,-0.357487846759648,0.133454234702887,-0.000271135630023082,0,-0.0267128853097589,0,0,0,-0.0346717151636972,-0.109546787886818,0
"12",-0.0847209597174694,0.339255385592994,-0.035789631097332,0,-0.0305061835237513,0,0,0,-0.0237220399512417,0,0,0.0107291070810328,0,0.0716671781744927,-0.0359935688017374,0.0644575110406184,0,0,0.0215442093926138,0,0,0,0,0,0.0745916922881482,-0.0611759225480564,-0.1231903210247,0,0,0,0,0,0,0,-0.00069779413339372,-0.197284503670354,0.0693235927283642,0,0,0.0491864188925124,0,0,0,0,0,0,0,-0.158652505468375,0
"13",-0.122960531172045,0.094045037641096,0.0127279856491829,-0.0143337122712517,0,0,0,0,0,0,0,0,-0.0120134718839746,0.033231859372095,-0.0325997034217688,0,0,0,0,0,0,0,0,0.0635569321723923,0.141328004457263,-0.105711829865343,-0.185890624371635,0,0.306448569968082,-0.193798406754952,0.0570565997927978,0,0,0,0,-0.0155169437655005,0,0,0,0.0586558147687887,0,0,0,-0.0137651669460754,0,0,0,-0.210215481355947,0
"14",0,0,0,-0.107919511541151,-0.0297246946104969,0.124275084153106,0,0,-0.116559708020214,0,0,0,0,0,-0.0686824059767692,0,0.0835786535824723,0,0.112240267658676,0,-0.0911320225699495,0.078883508555787,0,0.028123929881362,0,-0.0568178923678122,0,0,0.152735568938864,-0.150129880577413,0,0,-0.0721849090063667,0.00614998818198836,0,0,0.172028078331142,0,0,-0.0356042070329061,0,0,0,0.145082344623659,-0.132172981053611,0,0,0,0.0249448567083049
"15",-0.0588496710872769,0,0,-0.0870106666186657,0.0352750461248924,0.0295577530038674,0.0363413788977815,0,0,0,0,0.0419452099172281,0,0,-0.212715595660724,0.000487810438916513,0,0,0.0503285337747833,0,0,0,0,0.0360987174394204,0.0231615321026859,-0.0703817785388122,-0.0787487142370313,0,0.0715356712121687,-0.071406473677983,0,-0.0695855572565899,0,0,0,0,0,0,0,0.173192247176339,0,0,0,0.0220333491942065,0,0,0,-0.0288837866959846,0
"16",0.0974798400762042,-0.0352708937155533,0,-0.113881959684875,-0.0139971768483381,0,0,0.00795555803072609,0,0.274536683313678,0,0.100451138211545,-0.0459540834538771,0,-0.201418725923874,0,0,0,0,0,0,-0.163777223001806,0.144700854357363,0,0,0.0163524462475465,0,-0.00817951164830443,0,0,0,0,-0.110585925043195,0,-0.0677621482510579,0,0.239247454587672,0,-0.117522295883199,0,-0.0504684761149912,0,0,0,0,-0.0297530216184982,0,0,0
"17",0,0,0,-0.153590971831823,0.1177855858568,0,0,0.00325296731598207,0,0,0,0.00114961453698159,-0.0431051190981534,0,-0.158042449065755,0,0.078285564978107,0.0390429952433499,0,0,0,0,0.145017538855844,0,0,-0.0597150079205619,-0.135691545716731,0,0.130460983855901,-0.0361992782030195,0,-0.0845012629344865,0,0,0,0,0.0334258506410914,0,0,0.0133926546718863,-0.0820900078720923,0,0,0.183192843399224,-0.0959317599077636,0,0,-0.0556648264643392,0
"18",0,0,0,0,0.0699613077030888,0.0417570413287397,0.0667702657706842,0,0,0,0,0,0,0,-0.119883675523279,0,0.0925481096179544,0,0.355263109635098,0,0,0,0,0,0.00244257660342669,-0.0233214892770756,-0.081447873923681,0,0,-0.0334485912773214,-0.0272098629976508,-0.246087640577191,0,0,0,0,0.0371613436201848,0,-0.0437872079962429,0,0,-0.125971206177528,0,0.0332917187357312,-0.0592903045534912,0,0,0,0
"19",0,0,0,-0.00583314739808828,0,0.0319402482168525,0,0,-0.00276391439062518,0,0,0,0,0,-0.151108713733087,0,0,0,0.206285698375959,-0.00492929102939633,0,0,0,0.0104045483546547,0.0691981937870755,-0.108212481403709,-0.0734073007273702,-0.0393364809557572,0,-0.0994788624962245,0,-0.0505855080541346,0,0,-0.0562500974299629,0,0.200307086507614,0,0,0,0,0,0,0,-0.145395689554177,0,-0.0110622158428932,0,0.0893468707429813
"20",0,0,0,-0.125832311176607,0,0.0276816628966945,0,-0.0566140037812616,-0.00422260626630314,0,-0.0923983992729501,0.19716755237198,0,0.0466580230340745,-0.108639052436473,0.0207759509765513,0,0,0,0,0,0,0,0,0.10252320323598,-0.020845502281104,-0.0904983578012573,0,0.162196087952944,-0.0939120972432609,0,0,-0.010299072332441,0,0,0,0.106590721773597,0,-9.89203214563414e-19,0,0,0,0,0,0,0,0,0,-0.0523230901820667
"21",0.00879865261736232,0,0,-0.0493810415968015,0,0.00483401960001621,0,0,-0.0732764632624952,0,0,0.116577593835998,-0.0199399850935025,0,0,0.0426556017195545,0.0651162944881374,0,0.0379384295993681,0,-0.180986933018194,0,0,-0.00837693292062367,0.192978205138074,-0.131336956628813,-0.0109358636182708,0,0.0797308840056038,-0.00432176984254154,0,-0.226273289094448,0,0,0,0,0.139135660418269,0,0,0,0,0,0,0,-0.077980330957749,0,0,0,0.0100917504172959
"22",0,0.0987606130313237,0,-0.083450640120267,0.024850303239205,0.00188330023015468,0,0,0,0,0,0.0893011047905381,-0.0343338792952383,0,-0.224075512711482,0,0.122443645656096,0,0.0639438824531231,0,-0.0561840947915358,0,0,0.0484790380465541,0.0926859176198248,-0.136114718594793,-0.0620476657552615,0,0.076261567918468,-0.119341580296514,0,-0.195788128791948,0,0,0,0,0.148644383400373,0,0,0,0,0,0,0,0,0,0,-0.0479559840331452,-0.00994049845248647
"23",-0.0541763970702812,0.0365467057759519,-0.00261849455539276,-0.0325263925361315,0.029957890001365,0,0,0,0,0,0,0.0774815003351747,-0.107483295214238,0,0,0,0.180781054243785,0.052880043293054,0,0,0,0,0,0.0830471083032103,0,-0.0334520755388717,-0.0665731291381793,-0.18772147096531,0.186683302848047,0,0,-0.224283063582181,0,0,0,0,0,0,0,0.0120476061262215,0,0,0,0,0,0,-0.00201105182809553,-0.0356200787703945,-0.00648342845965713
"24",8.70877368336275e-19,-8.70877368336275e-19,0.210831052775573,-0.179991195538478,-0.0114406644253327,-0.0224442687087976,0,0,0,0,0,0.058775134714948,-0.14575909370232,0,-0.171924846456175,0,0.114199852428863,0,0,0,0,0,0,0.0105324062631057,0,0,-0.0496206825696227,0,0,-0.14174739107388,0,0,0,5.44298355210172e-20,0,0,0.0662236320335233,0,0,0.169241102099767,0,0,0,0.141057532196253,-0.108314344938544,0,0,0,0
"25",0,0.218721300772776,0,0,0,0,0,0,-0.165202463437047,0,0,0,-0.10756531547568,0,-0.0392219013320973,0,0,0,0,0,0,0,0.121854495380042,0.113980550963942,0,-0.0792119299033813,-0.0993471390565525,0,0.0864399828575838,-0.0120311218063517,0,-0.0292605534350732,0,0,-0.206842863414224,0,0.314001643937701,0,0,0,0,0,0,0,-0.0367286729130961,0,0,-0.160703032729416,0
