"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",-0.304839942784416,0,0,0,-0.247093226843507,0,0,0,0,0,0,0,0.709223394284899,0,0,0,0,0,0,0,0,0,0,0,0.261843672948327,-0.0652849193744626,0,0,0,0.420499778080637,0.214539121317357,0,0,0,0,0,0,0,-0.188998809500447,0,0,0,0,0,0,0,0,-0.107827875661438,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,3.00779844956022e-19,0,-0.523653165430731,0,0,0,0,0.266205896771842,0,0,-0.142102048195049,0,0,0,0,0,0,0,0,0,0,0,0,0.134820406643134,0,0.360878994136118,0,0,0,0,0.306258713963717,0,0,0,0.495884329807248,0,0,0,0,0,0,0,-0.374642830453681,0,0
"4",0,0,0,0,0,0,-0.716643061977081,0,0,0,-0.441462673866002,0.172146111006966,0,0,0,0,0,0,0,0,-0.0841771303804482,0,0.0789561989798654,0,0,0,-0.00501317892011344,0,-0.409515422479506,0,0.282958170368596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,-0.325262598217179,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.734639213360546,-0.339956949763555,0,0,0,0,0,0,-0.391716336298684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213396009046905
"6",0,0,0,-0.158130168067155,-0.837940156978666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482497392770181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,-0.684228327693226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0382716182211746,0,0,0,0,0,0,0,0,0.700701857122931,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,-0.549889730354415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0721982567146104,0,-0.337295743334712,0,0,-0.400048734454642,0,0.391585406030358,0,0,0,0,0,0,0.0894127397700284,0,0,0,0.345369567882395,0.148183534154361,0,0,0,-0.339853313597696,0,0
"9",0,0,0,0,0,0,-0.154942484861865,0,0,0,0,0.106391025728599,0,0,0,-0.593363670667877,0,0,-0.402654725848037,0,0,0,0,0,0.549341510700108,0,0,0,0,0,0,0,0,0,0,0.149721643802245,0,0,0,0,0,0,0,0,0,0,-0.0865931028819986,0,0
"10",-0.305399503663832,0,0,0,-0.467791806934813,0.0632655794636539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676887179182045,0,0,0,0,0,0,0,0,0,0,0.14681913275481,0,0,0,0,0,0,0,0,0,0,0,0,-0.25238460280164
"11",0,0,0,0,-0.00408646248324338,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.445306117093818,0,0,0,0,0,0,0.0727118635705529,0,0,0,0,0.0450051382579608,0,-0.457873594289877,0,0,0.209555144348305,0.288506829358761,0,0,0,0,0.352077317934731,0,0,0.529120784465253,0,0,0,0
"12",0,0,0,0,0.0765712092280087,0,-0.370882368337368,0,-0.25399961963612,0,0,0.287251666741338,0.0164551701423182,0,0.0625914219003095,0,0,0,0,-0.56549169587251,0,0,0,0,0,0,0,-0.11561087321663,0,0,0.158564116036451,0,0,0,0,0.0784132308712344,0,0.446150551916724,0,0,0,0,0,0,0,0,0,-0.299397840096254,0
"13",0,0,0,0,-0.245519775686587,0,0,0,-0.186307324460407,0,0,0.204584152283618,0,0,0.228005096855981,0,0,0,0,-0.386347488628806,0,0,0,0,0.451260865890075,0,0,0,-0.322699191425223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.323437725786106,0,0,0,0.345156551115945,0,0,0,0,0,0,0,0,0.416286552637493,0.628722572701221,0,0,0,0,0,0,0,0
"15",0,0,0,0,-0.225676341862341,0,-0.0478148723531474,0,0,0,0,0.0796259498339469,0,0,0,0,0,0,0,0,0,0,0.59344857167311,0,0,0.244139242965505,0,0,0,0,0,0,-0.459397042984158,0,0,0,0,0,0,0.240786758024627,0,0,0.19441520394581,0,0,0,-0.328529358968915,-0.313642118803368,0
"16",-0.678596053685151,0,0,0,-0.330930643151345,0,0,0,0,0,0,0,0,0,0.372220013456847,0,0,0,0,0,0,0,0,0,0,0,-0.381560574838072,-0.190473222822885,0,0,0,0,0,0,0,0.242502627332319,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,-0.0425431294436588,-0.315775956921786,-0.273105108168645,0,0,0,0,0,0.0755467946671344,0,0,0,0,0,0.182957821879245,0,0,0,0,0,0,0.133968147533313,0,-0.293531815437257,0,0,0,0,0,-0.516116126649864,0,0,0,0,0,0,0.264957916926597,0.245036488416355,0.425945505877418,0,0.0863367352166897,0,0,0,0,0
"18",0,0,0,0,-0.387305092467725,0,0,0.0976232095404491,0,0,0,0.412624933578389,0,0,0.408810683155521,0.236428898563886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0315688669680643,0,-0.507456801980235
"19",0,0,0.599809495585828,0,0,0,0,0,-0.32884567570239,0,0,0,0,0,0,0,0.432350340248899,0,0,0,0,0,0,0,0,0,-0.189015809940854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997973548126649,0,0,0,0,0,0
