"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",0,-0.0696660753411124,0,0,0.0130854661668457,-0.175112624168541,0,-0.0660239297295018,-0.0213284264999411,0,0,0,0.242939547199881,0,0,0,0,0.0783236013191648,0,-0.154309912605553,0,0,0,0,0,0,-9.17839217532742e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222187930428245,0.0118670763022786,0,-0.0189183904361667,0,0,0,0,0
"2",0,0,-0.00695713455685107,0,0.0447825416751491,0,0,-0.0728258135361976,0.0569116860693318,0,0.0234379103513862,0.0765500307534447,0.034127078959144,0.0148848541641799,0.0132829188733401,0,0,0,0,0,0,0,0,0.17663486104259,0.0208757816624088,-0.0176907874366264,0,0,-0.0836799248796944,-0.156439658062922,0.00310943458826672,-0.0510467218937809,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418701718426023,0,-0.0849741423758338,0
"3",0.0710348919889925,-0.0646359640173948,0,0.0133188787641381,0,0,0,-0.130527747720354,0.07808086561374,-0.00602545572226526,0,0,0,-0.0996317229391196,0.118501815359127,0,0,0,-0.020429938505434,-0.00122986876897218,0,0,0,-0.161346336205419,0,0.0109624160977601,-0.0449678138180284,0,0.112625404398393,-0.163044875328288,0,0,0,0,0.206898221357096,-0.193749984809756,0,0,0,-0.0209669792882105,0,0.0566906803598225,0,0,0,0,0,0,0
"4",0.0691071744577093,0,0.0190295761738894,-0.0316115247898163,0,0,0,-0.00373341524915148,0,0,0,0,0,0,0.113448367739906,-0.0257780617357878,0,0,0,-0.000448535555322006,0,0,0,0,0,-0.0563613069823024,-0.101538534729271,-0.0291562427920964,0,-0.129012867505965,0,0,0,0,-0.0216399322051896,0,-0.0263348432473822,0,0,-0.111352196717591,0,0,0,0,0,0,-0.0419306890359533,0,0
"5",0.0557226428587707,0,0,0,0,0.081204187791672,0,-0.0980173610720617,0,0,0.171169664379341,-0.196230848535906,0,0,0,0,0,-0.131924713295805,0,0,0,0,0,-0.0122108617501447,0,0,-0.11570449694605,-0.0109710426187006,0,-0.0773795869874406,-0.02024589863589,-0.0246338183274864,0,0.119775272931825,0,-0.0195326865864963,-0.0253377989342326,0,0,0,0,0.0691751752037691,0,0,-0.00922396276898924,0,0.0674849426022179,0,0
"6",0.0550393069679373,0.0407941572573597,0,-1.36687820647312e-18,0,0.0196381371381437,0,0,0.0105527055051936,0,0,-0.246402479711531,0,0.0100326548875677,0,0.0055396898729771,0,-0.158301599590225,-0.015389015100564,-0.0711464637077455,0.0570660748855659,-0.0693185777589787,0,0.209697756537399,0,-0.00957822508510813,0,0,0,0,0,0,0,-0.104506025610825,0,0,0,0,0,0,0,0,0.138897138675615,0,0,0,0.10513067367105,0,0
"7",0,-0.0798528470573377,0,0,0.11319612328069,0,0,-0.0763027254139035,0,0,0,0,0,0,0.202549501461684,0,0.0892581504628985,0,0,-0.262498871999589,0,0,0.147929876175027,0,0.0808702381234818,0.0284812412473988,0,-0.135391291876393,0,-0.096874727594704,0,-0.078050380077835,0,0,0.00600271886954754,0,0,0.109598639606555,-0.0936350729409643,0,0,0,0,0,0,0,0,0,0.115586232738093
"8",0.0338702995783811,0,0.0794728872293796,-0.0294557249170713,-0.0310218099843568,0.199728305539035,-0.0104125564912505,0,0.232481270559111,0,0,0,-0.033829278506319,0,0.0561362172362157,0,0,-0.0658543140574627,0,0,0,0,0,0,-0.0581849403617104,0,3.32532531086935e-19,0.0984597160753882,0,-0.260403507275319,0,0,0,0,0,0,-0.0737680577369738,0,0,0,0,0,0,0,0,0.0733188659094278,-0.177485537786246,0,0
"9",0.217056842533822,0,0,0.0216507885629043,0.0277962007178621,0,0,-6.45263086613852e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154425012505791,0,-0.225423675057335,0,0,0,0,0,0,0,-0.0810372373995722,0,-0.168311139878138,0,0,0,0,0.0314611826699278,0,0,0,0,0.0758716647325421
"10",0.0471247108259874,0,0,0,0.0229823585821522,0,0,-0.0206170525162065,0,-0.0200860617143373,0,0,0.0631675617419473,-0.0807640548326862,0.0601880365926979,0.0372451810485492,0,-0.0518989917228167,0,0,0,0,-0.255987455651998,0,0,0.0464538892336175,-0.0518001545431439,-0.125250423635373,0,-0.0571544403090617,0,0,0,0.209522368800926,0,0,-0.0117438531308318,0,0,0,0,0,0,0,0.0786513554377345,0,0,0,-0.0989949066474844
